year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,11,29011,2,0.0384
2020,1,11,29013,11,0.139
2020,1,11,29015,11,0.153
2020,1,11,29017,10,0.182
2020,1,11,29019,92,0.0936
2020,1,11,29021,67,0.15
2020,1,11,29023,40,0.222
2020,1,11,29025,31,0.71
2020,1,11,29027,23,0.108
2020,1,11,29029,50,0.265
2020,1,11,29031,39,0.0955
2020,1,11,29033,5,0.104
2020,1,11,29035,8,0.314
2020,1,11,29037,65,0.118
2020,1,11,29039,5,0.0867
2020,1,11,29041,5,0.134
2020,1,11,29043,97,0.216
2020,1,11,29045,3,0.0936
2020,1,11,29047,804,0.589
2020,1,11,29049,88,0.82
2020,1,11,29051,48,0.123
2020,1,11,29053,15,0.201
2020,1,11,29055,24,0.219
2020,1,11,29057,3,0.0846
2020,1,11,29059,19,0.268
2020,1,11,29061,5,0.122
2020,1,11,29063,7,0.145
2020,1,11,29065,7,0.112
2020,1,11,29067,16,0.313
2020,1,11,29069,24,0.207
2020,1,11,29071,102,0.192
2020,1,11,29073,10,0.129
2020,1,11,29075,2,0.0567
2020,1,11,29077,181,0.119
2020,1,11,29079,7,0.159
2020,1,11,29081,9,0.235
2020,1,11,29083,13,0.134
2020,1,11,29085,8,0.208
2020,1,11,29087,3,0.116
2020,1,11,29089,11,0.225
2020,1,11,29091,23,0.139
2020,1,11,29093,7,0.198
2020,1,11,29095,1697,0.467
2020,1,11,29097,51,0.089
2020,1,11,29099,233,0.197
2020,1,11,29101,31,0.134
2020,1,11,29103,2,0.113
2020,1,11,29105,76,0.437
2020,1,11,29107,54,0.321
2020,1,11,29109,37,0.205
2020,1,11,29111,5,0.0999
2020,1,11,29113,196,0.689
2020,1,11,29115,8,0.156
2020,1,11,29117,7,0.0951
2020,1,11,29119,7,0.0655
2020,1,11,29121,13,0.173
2020,1,11,29123,11,0.201
2020,1,11,29125,11,0.283
2020,1,11,29127,13,0.0893
2020,1,11,29129,3,0.161
2020,1,11,29131,33,0.268
2020,1,11,29133,10,0.173
2020,1,11,29135,7,0.0957
2020,1,11,29137,3,0.0775
2020,1,11,29139,21,0.366
2020,1,11,29141,24,0.295
2020,1,11,29143,13,0.158
2020,1,11,29145,23,0.084
2020,1,11,29147,15,0.139
2020,1,11,29149,2,0.0502
2020,1,11,29151,4,0.0563
2020,1,11,29153,3,0.0879
2020,1,11,29155,10,0.157
2020,1,11,29157,4,0.0397
