FIPS,"Hospitalization Rate per 100,000",Unemployment Initial Claims,"Hospitals per 100,000"
17007,NaN,52.028,1.9
17009,NaN,16.767,0
17011,NaN,23.8761,6.1
17013,NaN,25.744,0
17015,NaN,26.4776,0
17017,NaN,22.2011,0
17019,NaN,20.6368,1.4
17021,NaN,27.582,6.1
17023,NaN,35.266,0
17025,NaN,41.978,7.5
17027,NaN,24.1145,2.7
17029,NaN,28.0536,2
17031,NaN,35.906,1.4
17033,NaN,26.7338,5.3
17035,NaN,24.4882,0
17037,NaN,27.8329,2.9
17039,NaN,22.9878,6.3
17041,NaN,17.8838,0
17043,NaN,26.4631,0.9
17045,NaN,24.0727,5.8
17047,NaN,31.7775,0
17049,NaN,27.894,2.9
17051,NaN,28.8759,4.7
17053,NaN,22.7003,7.5
17055,NaN,39.241,2.6
17057,NaN,36.182,2.9
17059,NaN,19.288,0
17061,NaN,22.253,7.7
17063,NaN,31.989,2
17065,NaN,25.5287,12.3
17067,NaN,16.1324,5.6
17069,NaN,22.609,25.6
17071,NaN,10.0306,0
17073,NaN,22.1789,4.1
17075,NaN,18.2821,3.6
17077,NaN,26.7935,3.5
17079,NaN,21.4859,0
17081,NaN,43.003,5.3
17083,NaN,23.5881,4.6
17085,NaN,22.4657,4.7
17087,NaN,29.2408,0
17089,NaN,26.882,0.9
17091,NaN,28.65,1.8
17093,NaN,29.48,0
17095,NaN,30.339,4
17097,NaN,24.2861,1.1
17099,NaN,31.987,3.7
17101,NaN,22.4616,6.3
17103,NaN,25.2563,2.9
17105,NaN,29.1686,2.8
17107,NaN,21.1386,3.5
17109,NaN,29.761,3.3
17111,NaN,29.678,1
17113,NaN,23.0505,1.2
17115,NaN,33.7997,1.9
17117,NaN,23.5202,4.4
17119,NaN,25.2049,2.6
17121,NaN,38.915,5.3
17123,NaN,28.3193,0
17125,NaN,25.549,7.4
17127,NaN,24.7198,7.1
17129,NaN,20.8724,0
17131,NaN,20.6959,6.4
17133,NaN,17.0927,0
17135,NaN,31.357,7
17137,NaN,22.2906,2.9
17139,NaN,17.1881,0
17141,NaN,32.2107,2
17143,NaN,36.645,2.2
17145,NaN,40.353,14.2
17147,NaN,18.5315,12.2
17149,NaN,18.679,6.4
17151,NaN,18.85,0
17153,NaN,26.9008,0
17155,NaN,27.5138,0
17157,NaN,27.206,9.3
17159,NaN,24.3811,6.3
17161,NaN,24.4993,2.1
17163,NaN,27.1236,1.5
17165,NaN,31.364,8.4
17167,NaN,27.4094,2
17169,NaN,21.944,14.5
17171,NaN,20.2416,0
17173,NaN,26.1457,4.6
17175,NaN,23.0499,0
17177,NaN,29.3013,2.2
17179,NaN,31.683,1.5
17181,NaN,24.8311,5.9
17183,NaN,27.7015,3.9
17185,NaN,19.0469,8.7
17187,NaN,15.7595,5.9
17189,NaN,23.9509,7.1
17191,NaN,34.644,6.1
17193,NaN,21.6741,0
17195,NaN,27.3218,3.6
17197,NaN,31.291,0.7
17199,NaN,32.5,4.5
17201,NaN,47.437,1.4
17203,NaN,23.4625,2.6
18001,NaN,38.3739,2.8
18003,NaN,64.758,2.9
18005,NaN,50.9207,1.2
18007,NaN,37.639,0
18009,NaN,59.23,8.4
18011,NaN,31.5216,1.5
18013,NaN,49.325,0
18015,NaN,41.489,0
18017,NaN,53.1075,7.9
18019,NaN,46.3365,3.4
18021,NaN,52.223,3.8
18023,NaN,47.7538,3.1
18025,NaN,60.486,0
18027,NaN,25.9456,3
18029,NaN,31.6241,4
18031,NaN,54.2678,3.7
18033,NaN,47.9673,4.6
18035,NaN,62.4987,2.6
18037,NaN,40.6384,2.3
18039,NaN,60.9527,1.5
18041,NaN,71.116,4.3
18043,NaN,41.3414,3.9
18045,NaN,47.87,0
18047,NaN,39.7265,0
18049,NaN,51.029,5
18051,NaN,44.8709,3
18053,NaN,57.7185,4.5
18055,NaN,45.2771,3.1
18057,NaN,31.571,2.4
18059,NaN,39.127,1.3
18061,NaN,39.0026,2.5
18063,NaN,32.5449,1.2
18065,NaN,53.5639,2.1
18067,NaN,94.5092,3.6
18069,NaN,52.1379,2.8
18071,NaN,57.4909,2.3
18073,NaN,48.8124,3
18075,NaN,50.64,4.8
18077,NaN,54.3331,9.3
18079,NaN,62.3123,3.6
18081,NaN,44.1154,1.9
18083,NaN,42.9427,2.7
18085,NaN,46.0154,2.5
18087,NaN,42.3165,2.5
18089,NaN,77.9279,3.3
18091,NaN,67.392,2.7
18093,NaN,51.4896,4.4
18095,NaN,68.0848,3.9
18097,NaN,80.6861,2.3
18099,NaN,47.1525,8.6
18101,NaN,33.881,0
18103,NaN,64.5365,2.8
18105,NaN,47.6306,2
18107,NaN,42.3271,2.6
18109,NaN,48.4353,2.9
18111,NaN,29.27,0
18113,NaN,63.2396,2.1
18115,NaN,24.004,0
18117,NaN,70.686,5.1
18119,NaN,54.408,0
18121,NaN,35.472,0
18123,NaN,52.793,5.2
18125,NaN,44.526,0
18127,NaN,47.0999,1.8
18129,NaN,29.4056,0
18131,NaN,49.324,8
18133,NaN,48.5234,2.6
18135,NaN,51.677,4
18137,NaN,32.0321,3.5
18139,NaN,45.811,6
18141,NaN,71.2826,2.6
18143,NaN,77.1203,4.2
18145,NaN,49.3379,2.2
18147,NaN,45.6322,0
18149,NaN,59.871,4.4
18151,NaN,43.1611,2.9
18153,NaN,52.163,4.8
18155,NaN,35.589,0
18157,NaN,54.3601,3.6
18159,NaN,39.692,6.6
18161,NaN,22.191,0
18163,NaN,58.3924,3.3
18165,NaN,43.568,6.5
18167,NaN,61.0658,3.7
18169,NaN,40.3501,3.2
18171,NaN,19.898,12.1
18173,NaN,38.3234,6.4
18175,NaN,46.4541,3.6
18177,NaN,54.7473,3
18179,NaN,38.4784,3.5
18181,NaN,50.1737,4.1
18183,NaN,45.0243,2.9
19001,NaN,32.104,14.2
19003,NaN,26.8049,27.4
19005,NaN,27.7174,7.2
19007,NaN,43.9192,8
19009,NaN,22.8935,18.2
19011,NaN,39.5311,3.9
19013,NaN,49.0193,2.3
19015,NaN,28.2858,3.8
19017,NaN,32.9136,8
19019,NaN,36.4352,9.4
19021,NaN,24.8683,5
19023,NaN,33.8713,0
19025,NaN,26.9462,10.3
19027,NaN,30.614,9.9
19029,NaN,30.3348,7.7
19031,NaN,32.079,0
19033,NaN,42.3675,4.7
19035,NaN,24.4475,17.7
19037,NaN,37.8493,8.4
19039,NaN,38.2952,10.6
19041,NaN,36.4998,6.2
19043,NaN,36.8641,11.4
19045,NaN,43.223,6.4
19047,NaN,27.0785,5.8
19049,NaN,23.1465,1.1
19051,NaN,27.6285,11.1
19053,NaN,23.7487,12.7
19055,NaN,32.4155,5.9
19057,NaN,60.533,2.6
19059,NaN,40.5681,5.8
19061,NaN,44.4269,3.1
19063,NaN,39.1394,10.8
19065,NaN,37.9105,10.2
19067,NaN,41.1238,6.3
19069,NaN,25.7399,9.9
19071,NaN,18.0384,14.3
19073,NaN,29.6723,11.1
19075,NaN,33.783,8.1
19077,NaN,31.2097,9.3
19079,NaN,34.9099,6.7
19081,NaN,44.5394,9.3
19083,NaN,29.6806,11.9
19085,NaN,19.7003,7.1
19087,NaN,41.3246,10
19089,NaN,34.2607,10.9
19091,NaN,25.3667,10.5
19093,NaN,19.6624,14.6
19095,NaN,38.49936,6.2
