year,month,day_endofweek,countyfips,initclaims_rate_regular
2020,1,11,17053,0.16
2020,1,11,17055,0.232
2020,1,11,17057,0.443
2020,1,11,17059,0.243
2020,1,11,17061,0.23
2020,1,11,17063,0.459
2020,1,11,17065,0.251
2020,1,11,17067,0.158
2020,1,11,17069,0.269
2020,1,11,17071,0.24
2020,1,11,17073,0.218
2020,1,11,17075,0.235
2020,1,11,17077,0.133
2020,1,11,17079,0.269
2020,1,11,17081,0.281
2020,1,11,17083,0.259
2020,1,11,17085,0.211
2020,1,11,17087,0.348
2020,1,11,17089,0.191
2020,1,11,17091,0.287
2020,1,11,17093,0.231
2020,1,11,17095,0.232
2020,1,11,17097,0.144
2020,1,11,17099,0.408
2020,1,11,17101,0.161
2020,1,11,17103,0.297
2020,1,11,17105,0.226
2020,1,11,17107,0.167
2020,1,11,17109,0.182
2020,1,11,17111,0.208
2020,1,11,17113,0.161
2020,1,11,17115,0.245
2020,1,11,17117,0.27
2020,1,11,17119,0.185
2020,1,11,17121,0.27
2020,1,11,17123,0.335
2020,1,11,17125,0.391
2020,1,11,17127,0.145
2020,1,11,17129,0.204
2020,1,11,17131,0.287
2020,1,11,17133,0.173
2020,1,11,17135,0.341
2020,1,11,17137,0.196
2020,1,11,17139,0.132
2020,1,11,17141,0.471
2020,1,11,17143,0.332
2020,1,11,17145,0.25
2020,1,11,17147,0.177
2020,1,11,17149,0.178
2020,1,11,17151,0.209
2020,1,11,17153,0.3
2020,1,11,17155,0.4
2020,1,11,17157,0.222
2020,1,11,17159,0.244
2020,1,11,17161,0.185
2020,1,11,17163,0.198
2020,1,11,17165,0.228
2020,1,11,17167,0.186
2020,1,11,17169,0.183
2020,1,11,17171,0.162
2020,1,11,17173,0.217
2020,1,11,17175,0.224
2020,1,11,17177,0.35
2020,1,11,17179,0.334
2020,1,11,17181,0.258
2020,1,11,17183,0.239
2020,1,11,17185,0.139
2020,1,11,17187,0.0892
2020,1,11,17189,0.218
2020,1,11,17191,0.236
2020,1,11,17193,0.11
2020,1,11,17195,0.207
2020,1,11,17197,0.268
2020,1,11,17199,0.219
2020,1,11,17201,0.812
2020,1,11,17203,0.23
2020,1,11,18001,0.0927
2020,1,11,18003,0.131
2020,1,11,18005,0.0955
2020,1,11,18009,0.2
2020,1,11,18011,0.0713
2020,1,11,18013,0.258
2020,1,11,18015,0.107
2020,1,11,18017,0.194
2020,1,11,18019,0.0743
2020,1,11,18021,0.256
2020,1,11,18023,0.0871
2020,1,11,18025,0.328
2020,1,11,18027,0.0835
2020,1,11,18029,0.0887
2020,1,11,18031,0.126
2020,1,11,18033,0.11
2020,1,11,18035,0.172
2020,1,11,18037,0.0605
2020,1,11,18039,0.199
2020,1,11,18041,0.114
2020,1,11,18043,0.0981
2020,1,11,18047,0.149
2020,1,11,18049,0.131
2020,1,11,18051,0.123
2020,1,11,18053,0.236
2020,1,11,18055,0.24
2020,1,11,18057,0.0688
2020,1,11,18059,0.0741
2020,1,11,18061,0.132
2020,1,11,18063,0.0542
2020,1,11,18065,0.135
2020,1,11,18067,0.181
2020,1,11,18069,0.125
2020,1,11,18071,0.131
2020,1,11,18073,0.341
2020,1,11,18077,0.119
2020,1,11,18079,0.154
2020,1,11,18081,0.0852
2020,1,11,18083,0.14
2020,1,11,18085,0.21
2020,1,11,18087,0.144
2020,1,11,18089,0.174
2020,1,11,18091,0.173
2020,1,11,18093,0.169
2020,1,11,18095,0.197
2020,1,11,18097,0.12
2020,1,11,18099,0.172
2020,1,11,18103,0.29
2020,1,11,18105,0.0768
2020,1,11,18107,0.0796
2020,1,11,18109,0.145
2020,1,11,18113,0.215
2020,1,11,18117,0.208
2020,1,11,18119,0.127
2020,1,11,18123,0.269
2020,1,11,18125,0.244
2020,1,11,18127,0.188
2020,1,11,18129,0.0804
2020,1,11,18131,0.289
2020,1,11,18133,0.0949
2020,1,11,18135,0.212
2020,1,11,18137,0.0907
2020,1,11,18141,0.199
2020,1,11,18145,0.0687
2020,1,11,18147,0.258
2020,1,11,18149,0.281
2020,1,11,18151,0.101
2020,1,11,18153,0.213
2020,1,11,18157,0.0877
2020,1,11,18159,0.15
2020,1,11,18163,0.146
2020,1,11,18165,0.142
2020,1,11,18167,0.227
2020,1,11,18169,0.185
2020,1,11,18173,0.121
2020,1,11,18175,0.203
2020,1,11,18177,0.133
2020,1,11,18179,0.0896
2020,1,11,18181,0.118
2020,1,11,18183,0.101
2020,1,11,19001,0.187
2020,1,11,19003,0.181
2020,1,11,19005,0.401
2020,1,11,19007,0.298
2020,1,11,19009,0.158
2020,1,11,19011,0.291
2020,1,11,19013,0.386
2020,1,11,19015,0.178
2020,1,11,19017,0.44
2020,1,11,19019,0.409
2020,1,11,19021,0.327
2020,1,11,19023,0.362
2020,1,11,19025,0.255
2020,1,11,19027,0.108
2020,1,11,19029,0.229
2020,1,11,19031,0.354
2020,1,11,19033,0.217
2020,1,11,19035,0.32
2020,1,11,19037,0.303
2020,1,11,19039,0.283
2020,1,11,19041,0.429
2020,1,11,19043,0.602
2020,1,11,19045,0.328
2020,1,11,19047,0.242
2020,1,11,19049,0.145
2020,1,11,19051,0.211
2020,1,11,19053,0.112
2020,1,11,19055,0.243
2020,1,11,19057,0.562
2020,1,11,19059,0.401
2020,1,11,19061,0.418
2020,1,11,19063,0.206
2020,1,11,19065,0.409
2020,1,11,19067,0.189
2020,1,11,19069,0.328
2020,1,11,19071,0.0804
2020,1,11,19073,0.0727
2020,1,11,19075,0.211
2020,1,11,19077,0.105
2020,1,11,19079,0.0998
2020,1,11,19081,0.15
2020,1,11,19083,0.207
2020,1,11,19085,0.214
2020,1,11,19087,0.373
2020,1,11,19089,0.304
2020,1,11,19091,0.347
2020,1,11,19093,0.239
2020,1,11,19095,0.234
2020,1,11,19097,0.519
2020,1,11,19099,0.214
2020,1,11,19101,0.156
2020,1,11,19103,0.158
2020,1,11,19105,0.359
2020,1,11,19107,0.226
2020,1,11,19109,0.211
2020,1,11,19111,0.398
2020,1,11,19113,0.281
2020,1,11,19115,0.359
2020,1,11,19117,0.128
2020,1,11,19119,0.0279
2020,1,11,19121,0.332
2020,1,11,19123,0.208
2020,1,11,19125,0.193
2020,1,11,19127,0.428
2020,1,11,19129,0.133
2020,1,11,19131,0.115
2020,1,11,19133,0.222
2020,1,11,19135,0.319
2020,1,11,19137,0.374
2020,1,11,19139,0.203
2020,1,11,19141,0.251
2020,1,11,19143,0.0838
2020,1,11,19145,0.201
2020,1,11,19147,0.165
2020,1,11,19149,0.226
2020,1,11,19151,0.131
2020,1,11,19153,0.254
2020,1,11,19155,0.122
2020,1,11,19157,0.228
2020,1,11,19159,0.199
2020,1,11,19161,0.298
2020,1,11,19163,0.295
2020,1,11,19165,0.176
2020,1,11,19167,0.183
2020,1,11,19169,0.108
2020,1,11,19171,0.198
2020,1,11,19173,0.0616
2020,1,11,19175,0.376
2020,1,11,19177,0.404
2020,1,11,19179,0.216
2020,1,11,19181,0.274
